pid	vid
101601	735816
101602	735821
101603	945001
101604	945006
101605	735826
101606	735831
101607	735836
101608	945011
101609	945401
10161	10161
101610	588671
101611	735841
101612	735846
101613	473996
101614	945406
101615	735851
101616	735856
101617	735861
101618	367186
101619	945411
101620	735866
101621	382006
101622	735871
101623	945416
101624	453476
101625	375061
101626	735876
101627	735881
101628	945421
101629	442671
101630	735886
101631	735891
101632	735896
101633	685771
101634	945426
101635	544931
101636	510871
101637	465591
101638	945431
101639	945436
101640	735901
101641	735906
101642	735911
101643	338921
101644	648851
101645	735916
101646	608441
101647	735921
101648	945441
101649	945446
101650	735926
101651	460241
101652	626646
101653	945451
101654	945456
101655	735931
101656	735936
101657	384776
101658	945461
101659	735941
10166	380181
101660	945466
101661	342376
101662	735946
101663	945471
101664	945476
101665	735951
101666	308281
101667	567646
101668	945481
101669	945486
101670	735956
101671	435326
101672	735961
101673	945491
101674	945496
101675	735966
101676	735971
101677	735976
101678	945501
101679	366306
101680	735981
101681	945506
101682	735986
101683	330811
101684	735991
101685	735996
101686	648581
101687	517041
101688	438726
101689	543471
101690	736001
101691	517656
101692	538096
101693	736006
101694	945511
101695	736011
101696	596121
101697	683921
101698	736016
101699	442026
101700	736021
101701	736026
101702	736031
101703	945516
101704	945521
101705	736036
101706	736041
101707	736046
101708	945526
101709	531801
10171	472951
101710	736051
101711	376511
101712	945531
101713	736056
101714	642421
101715	595236
101716	945536
101717	365391
101718	336001
101719	401031
101720	736061
101721	414131
101722	359976
101723	736066
101724	523196
101725	736071
101726	945541
101727	736076
101728	736081
101729	945546
101730	736086
101731	736091
101732	464681
101733	486371
101734	945551
101735	736096
101736	736101
101737	684056
101738	736106
101739	945556
101740	736111
101741	945561
101742	736116
101743	736121
101744	945566
101745	355721
101746	945571
101747	484746
101748	736126
101749	945576
101750	736131
101751	945581
101752	736136
101753	736141
101754	945586
101755	317841
101756	416616
101757	736146
101758	476056
101759	945591
10176	479006
101760	736151
101761	945596
101762	736156
101763	736161
101764	306141
101765	308661
101766	736166
101767	649101
101768	736171
101769	945601
101770	736176
101771	736181
101772	945606
101773	313021
101774	945611
101775	736186
101776	525641
101777	945616
101778	338866
101779	479301
